,n_trees,n_interval,min_length,time,accuracy,f1,recall
44,100,100,100,33.01641273498535,0.8695652173913043,0.8695652173913043,0.8695652173913043
45,100,100,200,33.62447667121887,0.8608695652173913,0.8608695652173913,0.8608695652173913
46,100,100,500,37.358267068862915,0.8608695652173913,0.8608695652173913,0.8608695652173913
47,100,100,1000,37.122711420059204,0.8695652173913043,0.8695652173913043,0.8695652173913043
48,100,200,5,68.54186749458313,0.8869565217391304,0.8869565217391304,0.8869565217391304
49,100,200,10,70.16968274116516,0.8956521739130435,0.8956521739130435,0.8956521739130435
50,100,200,20,71.113356590271,0.8869565217391304,0.8869565217391304,0.8869565217391304
51,100,200,50,68.71155571937561,0.8782608695652174,0.8782608695652175,0.8782608695652174
52,100,200,100,68.73593783378601,0.8695652173913043,0.8695652173913043,0.8695652173913043
53,100,200,200,67.66432237625122,0.8782608695652174,0.8782608695652175,0.8782608695652174
54,100,200,500,68.66381430625916,0.8695652173913043,0.8695652173913043,0.8695652173913043
55,100,200,1000,68.5825366973877,0.8956521739130435,0.8956521739130435,0.8956521739130435
56,200,3,5,1.3858296871185303,0.8347826086956521,0.8347826086956521,0.8347826086956521
57,200,3,10,0.7432827949523926,0.7130434782608696,0.7130434782608696,0.7130434782608696
58,200,3,20,1.3447494506835938,0.8434782608695652,0.8434782608695653,0.8434782608695652
59,200,3,50,0.8121511936187744,0.7130434782608696,0.7130434782608696,0.7130434782608696
60,200,3,100,1.2210371494293213,0.8,0.8000000000000002,0.8
61,200,3,200,1.5491249561309814,0.782608695652174,0.782608695652174,0.782608695652174
62,200,3,500,1.3804428577423096,0.8173913043478261,0.817391304347826,0.8173913043478261
63,200,3,1000,1.1249945163726807,0.7043478260869566,0.7043478260869566,0.7043478260869566
64,200,5,5,2.010516405105591,0.8173913043478261,0.817391304347826,0.8173913043478261
65,200,5,10,2.2507505416870117,0.808695652173913,0.808695652173913,0.808695652173913
66,200,5,20,2.533600330352783,0.8173913043478261,0.817391304347826,0.8173913043478261
67,200,5,50,2.1642560958862305,0.8521739130434782,0.8521739130434782,0.8521739130434782
68,200,5,100,2.2237560749053955,0.7913043478260869,0.791304347826087,0.7913043478260869
69,200,5,200,2.3007335662841797,0.808695652173913,0.808695652173913,0.808695652173913
70,200,5,500,2.535146951675415,0.8,0.8000000000000002,0.8
71,200,5,1000,2.5495691299438477,0.808695652173913,0.808695652173913,0.808695652173913
72,200,10,5,4.026040077209473,0.808695652173913,0.808695652173913,0.808695652173913
73,200,10,10,3.569788932800293,0.8347826086956521,0.8347826086956521,0.8347826086956521
74,200,10,20,4.45996618270874,0.8695652173913043,0.8695652173913043,0.8695652173913043
75,200,10,50,3.751852512359619,0.8347826086956521,0.8347826086956521,0.8347826086956521
76,200,10,100,4.6776978969573975,0.8173913043478261,0.817391304347826,0.8173913043478261
77,200,10,200,3.145369529724121,0.7913043478260869,0.791304347826087,0.7913043478260869
78,200,10,500,4.345617055892944,0.8521739130434782,0.8521739130434782,0.8521739130434782
79,200,10,1000,3.751739025115967,0.8260869565217391,0.8260869565217391,0.8260869565217391
80,200,20,5,6.215808629989624,0.8695652173913043,0.8695652173913043,0.8695652173913043
81,200,20,10,7.424797773361206,0.8782608695652174,0.8782608695652175,0.8782608695652174
82,200,20,20,8.198791027069092,0.8695652173913043,0.8695652173913043,0.8695652173913043
83,200,20,50,7.3948814868927,0.8521739130434782,0.8521739130434782,0.8521739130434782
84,200,20,100,6.259902000427246,0.8608695652173913,0.8608695652173913,0.8608695652173913
85,200,20,200,7.21983528137207,0.8347826086956521,0.8347826086956521,0.8347826086956521
86,200,20,500,7.802822828292847,0.8869565217391304,0.8869565217391304,0.8869565217391304
87,200,20,1000,6.354763507843018,0.8608695652173913,0.8608695652173913,0.8608695652173913
