,n_trees,n_interval,min_length,interval_type,time,accuracy,f1,recall
35,100,100,200.0,rp,61.64640474319458,0.8347826086956521,0.8347826086956521,0.8347826086956521
36,100,200,5.0,rp,114.183354139328,0.808695652173913,0.808695652173913,0.808695652173913
37,100,200,10.0,rp,114.87599468231201,0.808695652173913,0.808695652173913,0.808695652173913
38,100,200,20.0,rp,114.55281615257263,0.8260869565217391,0.8260869565217391,0.8260869565217391
39,100,200,50.0,rp,115.3305025100708,0.8173913043478261,0.817391304347826,0.8173913043478261
40,100,200,100.0,rp,117.32602620124817,0.8173913043478261,0.817391304347826,0.8173913043478261
41,100,200,200.0,rp,119.60705232620239,0.8347826086956521,0.8347826086956521,0.8347826086956521
42,200,3,5.0,rp,1.9463951587677002,0.7913043478260869,0.791304347826087,0.7913043478260869
43,200,3,10.0,rp,1.9275283813476562,0.8,0.8000000000000002,0.8
44,200,3,20.0,rp,1.972985029220581,0.8,0.8000000000000002,0.8
45,200,3,50.0,rp,1.8916478157043457,0.8,0.8000000000000002,0.8
46,200,3,100.0,rp,1.9696404933929443,0.8173913043478261,0.817391304347826,0.8173913043478261
47,200,3,200.0,rp,2.094254970550537,0.8521739130434782,0.8521739130434782,0.8521739130434782
48,200,5,5.0,rp,2.95449161529541,0.808695652173913,0.808695652173913,0.808695652173913
49,200,5,10.0,rp,2.9188594818115234,0.808695652173913,0.808695652173913,0.808695652173913
50,200,5,20.0,rp,2.9416677951812744,0.8,0.8000000000000002,0.8
51,200,5,50.0,rp,3.1582677364349365,0.8,0.8000000000000002,0.8
52,200,5,100.0,rp,3.1226251125335693,0.782608695652174,0.782608695652174,0.782608695652174
53,200,5,200.0,rp,3.268710136413574,0.782608695652174,0.782608695652174,0.782608695652174
54,200,10,5.0,rp,6.05049729347229,0.8,0.8000000000000002,0.8
55,200,10,10.0,rp,6.023442983627319,0.782608695652174,0.782608695652174,0.782608695652174
56,200,10,20.0,rp,6.627788305282593,0.8,0.8000000000000002,0.8
57,200,10,50.0,rp,6.554387807846069,0.8,0.8000000000000002,0.8
58,200,10,100.0,rp,6.08298921585083,0.8260869565217391,0.8260869565217391,0.8260869565217391
59,200,10,200.0,rp,6.352349519729614,0.808695652173913,0.808695652173913,0.808695652173913
60,200,20,5.0,rp,11.918403148651123,0.808695652173913,0.808695652173913,0.808695652173913
61,200,20,10.0,rp,11.837072849273682,0.808695652173913,0.808695652173913,0.808695652173913
62,200,20,20.0,rp,12.050479650497437,0.808695652173913,0.808695652173913,0.808695652173913
63,200,20,50.0,rp,11.887295246124268,0.8,0.8000000000000002,0.8
64,200,20,100.0,rp,12.597905397415161,0.8260869565217391,0.8260869565217391,0.8260869565217391
65,200,20,200.0,rp,12.99968934059143,0.808695652173913,0.808695652173913,0.808695652173913
66,200,50,5.0,rp,29.886937618255615,0.808695652173913,0.808695652173913,0.808695652173913
67,200,50,10.0,rp,29.26441740989685,0.8,0.8000000000000002,0.8
68,200,50,20.0,rp,29.41031312942505,0.808695652173913,0.808695652173913,0.808695652173913
69,200,50,50.0,rp,29.896273612976074,0.8,0.8000000000000002,0.8
70,200,50,100.0,rp,30.16361355781555,0.808695652173913,0.808695652173913,0.808695652173913
71,200,50,200.0,rp,30.550795793533325,0.8,0.8000000000000002,0.8
72,200,100,5.0,rp,58.16031885147095,0.8173913043478261,0.817391304347826,0.8173913043478261
73,200,100,10.0,rp,59.12776470184326,0.808695652173913,0.808695652173913,0.808695652173913
74,200,100,20.0,rp,57.80472731590271,0.808695652173913,0.808695652173913,0.808695652173913
75,200,100,50.0,rp,58.907801389694214,0.808695652173913,0.808695652173913,0.808695652173913
76,200,100,100.0,rp,59.967092752456665,0.8173913043478261,0.817391304347826,0.8173913043478261
77,200,100,200.0,rp,61.163198471069336,0.8173913043478261,0.817391304347826,0.8173913043478261
78,200,200,5.0,rp,114.78992438316345,0.8173913043478261,0.817391304347826,0.8173913043478261
79,200,200,10.0,rp,114.36708378791809,0.8260869565217391,0.8260869565217391,0.8260869565217391
80,200,200,20.0,rp,114.29570984840393,0.8173913043478261,0.817391304347826,0.8173913043478261
81,200,200,50.0,rp,115.48629570007324,0.8173913043478261,0.817391304347826,0.8173913043478261
82,200,200,100.0,rp,116.79687786102295,0.8173913043478261,0.817391304347826,0.8173913043478261
83,200,200,200.0,rp,119.90975093841553,0.8434782608695652,0.8434782608695653,0.8434782608695652
84,500,3,5.0,rp,2.3059723377227783,0.7913043478260869,0.791304347826087,0.7913043478260869
85,500,3,10.0,rp,2.318390130996704,0.7913043478260869,0.791304347826087,0.7913043478260869
86,500,3,20.0,rp,2.330252170562744,0.8,0.8000000000000002,0.8
87,500,3,50.0,rp,2.2494144439697266,0.7913043478260869,0.791304347826087,0.7913043478260869
88,500,3,100.0,rp,2.3813812732696533,0.8,0.8000000000000002,0.8
89,500,3,200.0,rp,2.435617446899414,0.8347826086956521,0.8347826086956521,0.8347826086956521
90,500,5,5.0,rp,3.2946717739105225,0.808695652173913,0.808695652173913,0.808695652173913
91,500,5,10.0,rp,3.258638381958008,0.808695652173913,0.808695652173913,0.808695652173913
92,500,5,20.0,rp,3.3182289600372314,0.7913043478260869,0.791304347826087,0.7913043478260869
93,500,5,50.0,rp,3.4821012020111084,0.8,0.8000000000000002,0.8
94,500,5,100.0,rp,3.432119369506836,0.782608695652174,0.782608695652174,0.782608695652174
95,500,5,200.0,rp,3.615201234817505,0.782608695652174,0.782608695652174,0.782608695652174
96,500,10,5.0,rp,6.428302764892578,0.782608695652174,0.782608695652174,0.782608695652174
97,500,10,10.0,rp,6.383472442626953,0.8,0.8000000000000002,0.8
98,500,10,20.0,rp,6.52638053894043,0.8,0.8000000000000002,0.8
99,500,10,50.0,rp,6.518069505691528,0.8,0.8000000000000002,0.8
100,500,10,100.0,rp,6.286422967910767,0.8260869565217391,0.8260869565217391,0.8260869565217391
101,500,10,200.0,rp,6.878215074539185,0.808695652173913,0.808695652173913,0.808695652173913
102,500,20,5.0,rp,12.11902379989624,0.8,0.8000000000000002,0.8
103,500,20,10.0,rp,12.408894777297974,0.8,0.8000000000000002,0.8
104,500,20,20.0,rp,12.262648582458496,0.808695652173913,0.808695652173913,0.808695652173913
105,500,20,50.0,rp,12.27015209197998,0.808695652173913,0.808695652173913,0.808695652173913
